A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
The Driver,Miss Lavish,320,321,va bene signore va bene va bene she is my sister,most certainly i would let them be but i dare say i shall receive scant support i have always flown in the face of the conventions all my life this is what i call an adventure,Lucy; Miss Lavish; Persephone; Rev. Cuthbert Eager,M,minor,F,intermediate
Miss Lavish,Rev. Cuthbert Eager,321,322,most certainly i would let them be but i dare say i shall receive scant support i have always flown in the face of the conventions all my life this is what i call an adventure,we must not submit i knew he was trying it on he is treating us as if we were a party of cook s tourists,Lucy; Rev. Cuthbert Eager,F,intermediate,M,intermediate
Rev. Cuthbert Eager,Miss Lavish,322,323,we must not submit i knew he was trying it on he is treating us as if we were a party of cook s tourists,surely no,Lucy; Miss Lavish,M,intermediate,F,intermediate
The Driver,Persephone,325,326,signorina,signorina,Lucy; Miss Lavish; Mr. Emerson; Persephone; Rev. Cuthbert Eager,M,minor,F,minor
Persephone,Rev. Cuthbert Eager,326,327,signorina,victory at last,Lucy; Miss Lavish; Mr. Emerson; Rev. Cuthbert Eager; The Driver,F,minor,M,intermediate
Rev. Cuthbert Eager,Mr. Emerson,327,328,victory at last,it is not victory it is defeat you have parted two people who were happy we have tried to buy what cannot be bought with money he has bargained to drive us and he is doing it we have no rights over his soul,Lucy; Miss Lavish; Mr. Emerson,M,intermediate,M,intermediate
Mr. Emerson,Miss Lavish,328,329,it is not victory it is defeat you have parted two people who were happy we have tried to buy what cannot be bought with money he has bargained to drive us and he is doing it we have no rights over his soul,he was not driving us well he jolted us,Lucy; Miss Lavish; Rev. Cuthbert Eager,M,intermediate,F,intermediate
Miss Lavish,Mr. Emerson,329,330,he was not driving us well he jolted us,that i deny it was as restful as sleeping aha he is jolting us now can you wonder he would like to throw us out and most certainly he is justified and if i were superstitious i d be frightened of the girl too it doesn t do to injure young people have you ever heard of lorenzo de medici,Lucy; Mr. Emerson; Rev. Cuthbert Eager,F,intermediate,M,intermediate
Mr. Emerson,Miss Lavish,330,331,that i deny it was as restful as sleeping aha he is jolting us now can you wonder he would like to throw us out and most certainly he is justified and if i were superstitious i d be frightened of the girl too it doesn t do to injure young people have you ever heard of lorenzo de medici,most certainly i have do you refer to lorenzo il magnifico or to lorenzo duke of urbino or to lorenzo surnamed lorenzino on account of his diminutive stature,Lucy; Miss Lavish; Rev. Cuthbert Eager,M,intermediate,F,intermediate
Miss Lavish,Mr. Emerson,331,332,most certainly i have do you refer to lorenzo il magnifico or to lorenzo duke of urbino or to lorenzo surnamed lorenzino on account of his diminutive stature,the lord knows possibly he does know for i refer to lorenzo the poet he wrote a line so i heard yesterday which runs like this don t go fighting against the spring,Lucy; Mr. Emerson; Rev. Cuthbert Eager,F,intermediate,M,intermediate
Mr. Emerson,Rev. Cuthbert Eager,332,333,the lord knows possibly he does know for i refer to lorenzo the poet he wrote a line so i heard yesterday which runs like this don t go fighting against the spring,would render a correct meaning,Lucy; Miss Lavish; Rev. Cuthbert Eager,M,intermediate,M,intermediate
Rev. Cuthbert Eager,Mr. Emerson,333,334,would render a correct meaning,the point is we have warred with it look fifty miles of spring and we ve come up to admire them do you suppose there s any difference between spring in nature and spring in man but there we go praising the one and condemning the other as improper ashamed that the same laws work eternally through both,Lucy; Miss Lavish; Mr. Emerson,M,intermediate,M,intermediate
Miss Lavish,Miss Bartlett,336,337,the railway oh but i shall die of course it was the railway he is the image of a porter on on the south eastern,eleanor be quiet hush they ll hear the emersons,Miss Bartlett,F,intermediate,F,major
Miss Lavish,Miss Bartlett,338,339,i can t stop let me go my wicked way a porter,eleanor,Miss Bartlett,F,intermediate,F,major
Lucy,Miss Lavish,340,341,i m sure it s all right the emersons won t hear and they wouldn t mind if they did,miss honeychurch listening pouf wouf you naughty girl go away,Miss Bartlett; Miss Lavish,,,F,intermediate
Miss Lavish,Miss Bartlett,341,342,miss honeychurch listening pouf wouf you naughty girl go away,oh lucy you ought to be with mr eager i m sure,Lucy; Miss Bartlett,F,intermediate,F,major
Miss Bartlett,Lucy,342,343,oh lucy you ought to be with mr eager i m sure,i can t find them now and i don t want to either,Lucy; Miss Lavish,F,major,,
Lucy,Miss Bartlett,343,344,i can t find them now and i don t want to either,mr eager will be offended it is your party,Miss Bartlett; Miss Lavish,,,F,major
Miss Bartlett,Lucy,344,345,mr eager will be offended it is your party,please i d rather stop here with you,Lucy; Miss Lavish,F,major,,
Lucy,Miss Lavish,345,346,please i d rather stop here with you,no i agree it s like a school feast the boys have got separated from the girls miss lucy you are to go we wish to converse on high topics unsuited for your ear,Miss Bartlett; Miss Lavish,,,F,intermediate
Miss Lavish,Miss Bartlett,346,347,no i agree it s like a school feast the boys have got separated from the girls miss lucy you are to go we wish to converse on high topics unsuited for your ear,how tired one gets oh i do wish freddy and your mother could be here,Lucy; Miss Bartlett,F,intermediate,F,major
Miss Bartlett,Miss Lavish,347,348,how tired one gets oh i do wish freddy and your mother could be here,then sit you down observe my foresight,Lucy; Miss Lavish,F,major,F,intermediate
Miss Lavish,Miss Bartlett,348,349,then sit you down observe my foresight,lucy without a moment s doubt lucy the ground will do for me really i have not had rheumatism for years if i do feel it coming on i shall stand imagine your mother s feelings if i let you sit in the wet in your white linen here we are all settled delightfully even if my dress is thinner it will not show so much being brown sit down dear you are too unselfish you don t assert yourself enough now don t be alarmed this isn t a cold it s the tiniest cough and i have had it three days it s nothing to do with sitting here at all,Lucy; Miss Bartlett,F,intermediate,F,major
Miss Bartlett,Lucy,349,350,lucy without a moment s doubt lucy the ground will do for me really i have not had rheumatism for years if i do feel it coming on i shall stand imagine your mother s feelings if i let you sit in the wet in your white linen here we are all settled delightfully even if my dress is thinner it will not show so much being brown sit down dear you are too unselfish you don t assert yourself enough now don t be alarmed this isn t a cold it s the tiniest cough and i have had it three days it s nothing to do with sitting here at all,dove dove buoni uomini,Lucy; Miss Lavish,F,major,,
The Driver,Lucy,352,353,would she like to see them,ma buoni uomini what is that,Lucy,M,minor,,
Lucy,The Driver,353,354,ma buoni uomini what is that,eccolo courage courage and love,The Driver,,,M,minor
The Driver,Mr. Beebe,356,357,let us go immediately the signorino will walk,all the way he will be hours,Lucy; Miss Bartlett; Miss Lavish; Mr. Beebe; Mr. Emerson; Rev. Cuthbert Eager,M,minor,M,major
Mr. Beebe,The Driver,357,358,all the way he will be hours,apparently i told him it was unwise,Lucy; Miss Bartlett; Miss Lavish; Mr. Emerson; Rev. Cuthbert Eager; The Driver,M,major,M,minor
The Driver,Rev. Cuthbert Eager,358,359,apparently i told him it was unwise,courage miss honeychurch courage and faith if i might say so there is something almost blasphemous in this horror of the elements are we seriously to suppose that all these clouds all this immense electrical display is simply called into existence to extinguish you or me,Lucy; Miss Bartlett; Miss Lavish; Mr. Beebe; Mr. Emerson; Rev. Cuthbert Eager,M,minor,M,intermediate
Rev. Cuthbert Eager,Lucy,359,360,courage miss honeychurch courage and faith if i might say so there is something almost blasphemous in this horror of the elements are we seriously to suppose that all these clouds all this immense electrical display is simply called into existence to extinguish you or me,no of course,Lucy; Miss Bartlett,M,intermediate,,
Lucy,Rev. Cuthbert Eager,360,361,no of course,even from the scientific standpoint the chances against our being struck are enormous the steel knives the only articles which might attract the current are in the other carriage and in any case we are infinitely safer than if we were walking courage courage and faith,Miss Bartlett; Rev. Cuthbert Eager,,,M,intermediate
Mr. Beebe,Mr. Emerson,362,363,mr eager we want your assistance will you interpret for us,george ask your driver which way george went the boy may lose his way he may be killed,Lucy; Miss Bartlett; Miss Lavish; Mr. Emerson; Rev. Cuthbert Eager,M,major,M,intermediate
Mr. Emerson,Miss Bartlett,363,364,george ask your driver which way george went the boy may lose his way he may be killed,go mr eager don t ask our driver our driver is no help go and support poor mr beebe he is nearly demented,Lucy; Miss Bartlett; Miss Lavish; Mr. Beebe; Rev. Cuthbert Eager,M,intermediate,F,major
Mr. Emerson,Rev. Cuthbert Eager,365,366,he may be killed he may be killed,typical behaviour in the presence of reality that kind of person invariably breaks down,Lucy; Miss Bartlett; Miss Lavish; Mr. Beebe; Rev. Cuthbert Eager,M,intermediate,M,intermediate
Rev. Cuthbert Eager,Lucy,366,367,typical behaviour in the presence of reality that kind of person invariably breaks down,what does he know charlotte how much does mr eager know,Lucy; Miss Bartlett,M,intermediate,,
Lucy,Miss Bartlett,367,368,what does he know charlotte how much does mr eager know,nothing dearest he knows nothing but he knows everything dearest had we better shall i it is dreadful to be entangled with low class people he saw it all,Miss Bartlett,,,F,major
Miss Bartlett,The Driver,369,370,silenzio,va bene,Lucy; The Driver,F,major,M,minor
The Driver,Lucy,370,371,va bene,charlotte dear charlotte kiss me kiss me again only you can understand me you warned me to be careful and i i thought i was developing,Lucy; Miss Bartlett,M,minor,,
Lucy,Miss Bartlett,371,372,charlotte dear charlotte kiss me kiss me again only you can understand me you warned me to be careful and i i thought i was developing,do not cry dearest take your time,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,372,373,do not cry dearest take your time,i have been obstinate and silly worse than you know far worse once by the river oh but he isn t killed he wouldn t be killed would he,Lucy,F,major,,
Lucy,Miss Bartlett,373,374,i have been obstinate and silly worse than you know far worse once by the river oh but he isn t killed he wouldn t be killed would he,i trust not one would always pray against that,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,374,375,i trust not one would always pray against that,he is really i think he was taken by surprise just as i was before but this time i m not to blame i want you to believe that i simply slipped into those violets no i want to be really truthful i am a little to blame i had silly thoughts the sky you know was gold and the ground all blue and for a moment he looked like someone in a book,Lucy,F,major,,
Lucy,Miss Bartlett,375,376,he is really i think he was taken by surprise just as i was before but this time i m not to blame i want you to believe that i simply slipped into those violets no i want to be really truthful i am a little to blame i had silly thoughts the sky you know was gold and the ground all blue and for a moment he looked like someone in a book,in a book,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,376,377,in a book,heroes gods the nonsense of schoolgirls,Lucy,F,major,,
Lucy,Miss Bartlett,377,378,heroes gods the nonsense of schoolgirls,and then,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,378,379,and then,but charlotte you know what happened then i want to be truthful it is so hard to be absolutely truthful,Lucy,F,major,,
Lucy,Miss Bartlett,379,380,but charlotte you know what happened then i want to be truthful it is so hard to be absolutely truthful,don t be troubled dearest wait till you are calmer we will talk it over before bed time in my room,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,380,381,don t be troubled dearest wait till you are calmer we will talk it over before bed time in my room,at last i shall understand myself i shan t again be troubled by things that come out of nothing and mean i don t know what,Lucy,F,major,,
Miss Bartlett,Lucy,382,383,well dear i at all events am ready for bedfordshire come into my room and i will give a good brush to your hair so what is to be done what is to be done a point dearest which you alone can settle,it has been raining for nearly four hours,Lucy,F,major,,
Lucy,Miss Bartlett,383,384,it has been raining for nearly four hours,how do you propose to silence him,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,384,385,how do you propose to silence him,the driver,Lucy,F,major,,
Lucy,Miss Bartlett,385,386,the driver,my dear girl no mr george emerson,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,386,387,my dear girl no mr george emerson,i don t understand,Lucy,F,major,,
Lucy,Miss Bartlett,387,388,i don t understand,how are you going to stop him talking about it,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,388,389,how are you going to stop him talking about it,i have a feeling that talk is a thing he will never do,Lucy,F,major,,
Lucy,Miss Bartlett,389,390,i have a feeling that talk is a thing he will never do,i too intend to judge him charitably but unfortunately i have met the type before they seldom keep their exploits to themselves,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,390,391,i too intend to judge him charitably but unfortunately i have met the type before they seldom keep their exploits to themselves,exploits,Lucy,F,major,,
Lucy,Miss Bartlett,391,392,exploits,my poor dear did you suppose that this was his first come here and listen to me i am only gathering it from his own remarks do you remember that day at lunch when he argued with miss alan that liking one person is an extra reason for liking another well i am no prude there is no need to call him a wicked young man but obviously he is thoroughly unrefined let us put it down to his deplorable antecedents and education if you wish but we are no farther on with our question what do you propose to do,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,392,393,my poor dear did you suppose that this was his first come here and listen to me i am only gathering it from his own remarks do you remember that day at lunch when he argued with miss alan that liking one person is an extra reason for liking another well i am no prude there is no need to call him a wicked young man but obviously he is thoroughly unrefined let us put it down to his deplorable antecedents and education if you wish but we are no farther on with our question what do you propose to do,i propose to speak to him you see charlotte your kindness i shall never forget it but as you said it is my affair mine and his,Lucy,F,major,,
Lucy,Miss Bartlett,393,394,i propose to speak to him you see charlotte your kindness i shall never forget it but as you said it is my affair mine and his,and you are going to implore him to beg him to keep silence,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,394,395,and you are going to implore him to beg him to keep silence,certainly not there would be no difficulty whatever you ask him he answers yes or no then it is over i have been frightened of him but now i am not one little bit,Lucy,F,major,,
Lucy,Miss Bartlett,395,396,certainly not there would be no difficulty whatever you ask him he answers yes or no then it is over i have been frightened of him but now i am not one little bit,but we fear him for you dear you are so young and inexperienced you have lived among such nice people that you cannot realize what men can be how they can take a brutal pleasure in insulting a woman whom her sex does not protect and rally round this afternoon for example if i had not arrived what would have happened,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,396,397,but we fear him for you dear you are so young and inexperienced you have lived among such nice people that you cannot realize what men can be how they can take a brutal pleasure in insulting a woman whom her sex does not protect and rally round this afternoon for example if i had not arrived what would have happened,i can t think,Lucy,F,major,,
Lucy,Miss Bartlett,397,398,i can t think,what would have happened if i hadn t arrived,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,398,399,what would have happened if i hadn t arrived,i can t think,Lucy,F,major,,
Lucy,Miss Bartlett,399,400,i can t think,when he insulted you how would you have replied,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,400,401,when he insulted you how would you have replied,i hadn t time to think you came,Lucy,F,major,,
Lucy,Miss Bartlett,401,402,i hadn t time to think you came,yes but won t you tell me now what you would have done,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,402,403,yes but won t you tell me now what you would have done,i should have,Lucy,F,major,,
Lucy,Miss Bartlett,403,404,i should have,come away from the window dear you will be seen from the road oh for a real man we are only two women you and i mr beebe is hopeless there is mr eager but you do not trust him oh for your brother he is young but i know that his sister s insult would rouse in him a very lion thank god chivalry is not yet dead there are still left some men who can reverence woman it will be a push to catch the morning train but we must try,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,404,405,come away from the window dear you will be seen from the road oh for a real man we are only two women you and i mr beebe is hopeless there is mr eager but you do not trust him oh for your brother he is young but i know that his sister s insult would rouse in him a very lion thank god chivalry is not yet dead there are still left some men who can reverence woman it will be a push to catch the morning train but we must try,what train,Lucy,F,major,,
Lucy,Miss Bartlett,405,406,what train,the train to rome,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,406,407,the train to rome,when does the train to rome go,Lucy,F,major,,
Lucy,Miss Bartlett,407,408,when does the train to rome go,at eight,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,408,409,at eight,signora bertolini would be upset,Lucy,F,major,,
Lucy,Miss Bartlett,409,410,signora bertolini would be upset,we must face that,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,410,411,we must face that,she will make us pay for a whole week s pension,Lucy,F,major,,
Lucy,Miss Bartlett,411,412,she will make us pay for a whole week s pension,i expect she will however we shall be much more comfortable at the vyses hotel isn t afternoon tea given there for nothing,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,412,413,i expect she will however we shall be much more comfortable at the vyses hotel isn t afternoon tea given there for nothing,yes but they pay extra for wine,Lucy,F,major,,
Lucy,Miss Bartlett,413,414,yes but they pay extra for wine,dearest lucy how will you ever forgive me,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,414,415,dearest lucy how will you ever forgive me,charlotte dear what do you mean as if i have anything to forgive,Lucy,F,major,,
Lucy,Miss Bartlett,415,416,charlotte dear what do you mean as if i have anything to forgive,you have a great deal and i have a very great deal to forgive myself too i know well how much i vex you at every turn,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,416,417,you have a great deal and i have a very great deal to forgive myself too i know well how much i vex you at every turn,but no,Lucy,F,major,,
Lucy,Miss Bartlett,417,418,but no,ah but yes i feel that our tour together is hardly the success i had hoped i might have known it would not do you want someone younger and stronger and more in sympathy with you i am too uninteresting and old fashioned only fit to pack and unpack your things,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,418,419,ah but yes i feel that our tour together is hardly the success i had hoped i might have known it would not do you want someone younger and stronger and more in sympathy with you i am too uninteresting and old fashioned only fit to pack and unpack your things,please,Lucy,F,major,,
Lucy,Miss Bartlett,419,420,please,my only consolation was that you found people more to your taste and were often able to leave me at home i had my own poor ideas of what a lady ought to do but i hope i did not inflict them on you more than was necessary you had your own way about these rooms at all events,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,420,421,my only consolation was that you found people more to your taste and were often able to leave me at home i had my own poor ideas of what a lady ought to do but i hope i did not inflict them on you more than was necessary you had your own way about these rooms at all events,you mustn t say these things,Lucy,F,major,,
Lucy,Miss Bartlett,421,422,you mustn t say these things,i have been a failure failed to make you happy failed in my duty to your mother she has been so generous to me i shall never face her again after this disaster,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,422,423,i have been a failure failed to make you happy failed in my duty to your mother she has been so generous to me i shall never face her again after this disaster,but mother will understand it is not your fault this trouble and it isn t a disaster either,Lucy,F,major,,
Lucy,Miss Bartlett,423,424,but mother will understand it is not your fault this trouble and it isn t a disaster either,it is my fault it is a disaster she will never forgive me and rightly for instance what right had i to make friends with miss lavish,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,424,425,it is my fault it is a disaster she will never forgive me and rightly for instance what right had i to make friends with miss lavish,every right,Lucy,F,major,,
Lucy,Miss Bartlett,425,426,every right,when i was here for your sake if i have vexed you it is equally true that i have neglected you your mother will see this as clearly as i do when you tell her,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,426,427,when i was here for your sake if i have vexed you it is equally true that i have neglected you your mother will see this as clearly as i do when you tell her,why need mother hear of it,Lucy,F,major,,
Lucy,Miss Bartlett,427,428,why need mother hear of it,but you tell her everything,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,428,429,but you tell her everything,i suppose i do generally,Lucy,F,major,,
Lucy,Miss Bartlett,429,430,i suppose i do generally,i dare not break your confidence there is something sacred in it unless you feel that it is a thing you could not tell her,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,430,431,i dare not break your confidence there is something sacred in it unless you feel that it is a thing you could not tell her,naturally i should have told her but in case she should blame you in any way i promise i will not i am very willing not to i will never speak of it either to her or to any one,Lucy,F,major,,
Lucy,Miss Bartlett,431,432,naturally i should have told her but in case she should blame you in any way i promise i will not i am very willing not to i will never speak of it either to her or to any one,i wish one word with you in the drawing room mr emerson please good night mr emerson,Miss Bartlett,,,F,major
Freddy,Mrs. Honeychurch,435,436,where aren t they i tell you i m getting fairly sick,for goodness sake go out of my drawing room then i think things are coming to a head,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,436,437,for goodness sake go out of my drawing room then i think things are coming to a head,time they did,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,437,438,time they did,i am glad that cecil is asking her this once more,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,438,439,i am glad that cecil is asking her this once more,it s his third go isn t it,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,439,440,it s his third go isn t it,freddy i do call the way you talk unkind,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,440,441,freddy i do call the way you talk unkind,i didn t mean to be unkind but i do think lucy might have got this off her chest in italy i don t know how girls manage things but she can t have said properly before or she wouldn t have to say it again now over the whole thing i can t explain i do feel so uncomfortable,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,441,442,i didn t mean to be unkind but i do think lucy might have got this off her chest in italy i don t know how girls manage things but she can t have said properly before or she wouldn t have to say it again now over the whole thing i can t explain i do feel so uncomfortable,do you indeed dear how interesting,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,442,443,do you indeed dear how interesting,i feel never mind,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,443,444,i feel never mind,just listen to what i have written to mrs vyse i said dear mrs vyse,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,444,445,just listen to what i have written to mrs vyse i said dear mrs vyse,yes mother you told me a jolly good letter,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,445,446,yes mother you told me a jolly good letter,i said i was rather amused at cecil asking my permission at all he has always gone in for unconventionality and parents nowhere and so forth when it comes to the point he can t get on without me,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,446,447,i said i was rather amused at cecil asking my permission at all he has always gone in for unconventionality and parents nowhere and so forth when it comes to the point he can t get on without me,nor me,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,447,448,nor me,you what do you mean,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,448,449,you what do you mean,he asked me for my permission also,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,449,450,he asked me for my permission also,how very odd of him,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,450,451,how very odd of him,why so why shouldn t my permission be asked,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,451,452,why so why shouldn t my permission be asked,what do you know about lucy or girls or anything what ever did you say,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,452,453,what do you know about lucy or girls or anything what ever did you say,i said to cecil,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,453,454,i said to cecil,what a helpful answer,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,454,455,what a helpful answer,the bother is this,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,455,456,the bother is this,freddy you must come there they still are,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,456,457,freddy you must come there they still are,i don t see you ought to go peeping like that,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,457,458,i don t see you ought to go peeping like that,peeping like that can t i look out of my own window still page 322,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,458,459,peeping like that can t i look out of my own window still page 322,the bother is this i have put my foot in it with cecil most awfully not content with permission which i did give that is to say i said well not content with that he wanted to know whether i wasn t off my head with joy he practically put it like this wasn t it a splendid thing for lucy and for windy corner generally if he married her and he would have an answer he said it would strengthen his hand,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,459,460,the bother is this i have put my foot in it with cecil most awfully not content with permission which i did give that is to say i said well not content with that he wanted to know whether i wasn t off my head with joy he practically put it like this wasn t it a splendid thing for lucy and for windy corner generally if he married her and he would have an answer he said it would strengthen his hand,i hope you gave a careful answer dear,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,460,461,i hope you gave a careful answer dear,i answered no there fly into a stew i can t help it had to say it i had to say no he ought never to have asked me,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,461,462,i answered no there fly into a stew i can t help it had to say it i had to say no he ought never to have asked me,ridiculous child you think you re so holy and truthful but really it s only abominable conceit do you suppose that a man like cecil would take the slightest notice of anything you say i hope he boxed your ears how dare you say no,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,462,463,ridiculous child you think you re so holy and truthful but really it s only abominable conceit do you suppose that a man like cecil would take the slightest notice of anything you say i hope he boxed your ears how dare you say no,oh do keep quiet mother i had to say no when i couldn t say yes i tried to laugh as if i didn t mean what i said and as cecil laughed too and went away it may be all right but i feel my foot s in it oh do keep quiet though and let a man do some work,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,463,464,oh do keep quiet mother i had to say no when i couldn t say yes i tried to laugh as if i didn t mean what i said and as cecil laughed too and went away it may be all right but i feel my foot s in it oh do keep quiet though and let a man do some work,no i shall not keep quiet you know all that has passed between them in rome you know why he is down here and yet you deliberately insult him and try to turn him out of my house,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,464,465,no i shall not keep quiet you know all that has passed between them in rome you know why he is down here and yet you deliberately insult him and try to turn him out of my house,not a bit i only let out i didn t like him i don t hate him but i don t like him what i mind is that he ll tell lucy,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,465,466,not a bit i only let out i didn t like him i don t hate him but i don t like him what i mind is that he ll tell lucy,well i like him i know his mother he s good he s clever he s rich he s well connected oh you needn t kick the piano he s well connected i ll say it again if you like he s well connected and he has beautiful manners,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,466,467,well i like him i know his mother he s good he s clever he s rich he s well connected oh you needn t kick the piano he s well connected i ll say it again if you like he s well connected and he has beautiful manners,i liked him till just now i suppose it s having him spoiling lucy s first week at home and it s also something that mr beebe said not knowing,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,467,468,i liked him till just now i suppose it s having him spoiling lucy s first week at home and it s also something that mr beebe said not knowing,mr beebe i don t see how mr beebe comes in,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,468,469,mr beebe i don t see how mr beebe comes in,you know mr beebe s funny way when you never quite know what he means he said i was very cute i asked him what he meant he said i couldn t make him say any more but it set me thinking since cecil has come after lucy he hasn t been so pleasant at least i can t explain,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,469,470,you know mr beebe s funny way when you never quite know what he means he said i was very cute i asked him what he meant he said i couldn t make him say any more but it set me thinking since cecil has come after lucy he hasn t been so pleasant at least i can t explain,you never can dear but i can you are jealous of cecil because he may stop lucy knitting you silk ties will this do then i put in at the top i must write the letter out again i said that because i didn t want mrs vyse to think us old fashioned she goes in for lectures and improving her mind and all the time a thick layer of flue under the beds and the maid s dirty thumb marks where you turn on the electric light she keeps that flat abominably,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,470,471,you never can dear but i can you are jealous of cecil because he may stop lucy knitting you silk ties will this do then i put in at the top i must write the letter out again i said that because i didn t want mrs vyse to think us old fashioned she goes in for lectures and improving her mind and all the time a thick layer of flue under the beds and the maid s dirty thumb marks where you turn on the electric light she keeps that flat abominably,suppose lucy marries cecil would she live in a flat or in the country,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,471,472,suppose lucy marries cecil would she live in a flat or in the country,don t interrupt so foolishly where was i oh yes no i ll cross that last bit out it looks patronizing i ll stop at or shall i cross that out too,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,472,473,don t interrupt so foolishly where was i oh yes no i ll cross that last bit out it looks patronizing i ll stop at or shall i cross that out too,cross it out too,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,473,474,cross it out too,then the whole thing runs,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Freddy,474,475,then the whole thing runs,look out,Freddy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,475,476,look out,oh cecil oh cecil do tell me,Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Cecil,476,477,oh cecil oh cecil do tell me,i promessi sposi she has accepted me,Cecil; Freddy,F,major,,
Cecil,Mrs. Honeychurch,477,478,i promessi sposi she has accepted me,i am so glad welcome as one of the family this is indeed a joyous day i feel sure that you will make our dear lucy happy,Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Cecil,478,479,i am so glad welcome as one of the family this is indeed a joyous day i feel sure that you will make our dear lucy happy,i hope so,Cecil; Freddy,F,major,,
Cecil,Mrs. Honeychurch,479,480,i hope so,we mothers,Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Cecil,480,481,we mothers,i say lucy,Cecil; Freddy,F,major,,
